query,P@10,Recall@10,AP@10
1,1.0,0.2702702702702703,0.2702702702702703
2,0.6,0.375,0.31406249999999997
3,0.7,0.3181818181818182,0.2984307359307359
4,0.4,0.17391304347826086,0.0681159420289855
5,0.9,0.34615384615384615,0.32132173382173385
6,0.6,0.46153846153846156,0.4505494505494505
7,0.6,0.4,0.3793650793650793
8,0.4,0.36363636363636365,0.28831168831168835
9,0.7,0.25,0.2273809523809524
10,0.2857142857142857,0.08333333333333333,0.048611111111111105
11,0.7,0.3888888888888889,0.3356701940035273
12,0.6,0.6666666666666666,0.5157407407407406
13,0.9,0.42857142857142855,0.40576341647770214
14,0.7,0.4375,0.3436011904761905
15,0.8,0.27586206896551724,0.23133552271483304
16,0.6,0.46153846153846156,0.369047619047619
17,0.3,0.14285714285714285,0.06326530612244897
18,0.5,0.3333333333333333,0.1767195767195767
19,0.6,0.2222222222222222,0.21075837742504408
20,0.1,0.02564102564102564,0.008547008547008546
21,0.4,0.14814814814814814,0.09894179894179896
22,0.2,0.08,0.055999999999999994
23,0.8,0.20512820512820512,0.2022792022792023
24,0.9,0.4090909090909091,0.3873196248196248
25,0.9,0.375,0.3397652116402116
26,0.2,0.07142857142857142,0.01913265306122449
27,0.6,0.3333333333333333,0.2841269841269841
28,0.7,0.1794871794871795,0.1523199023199023
29,0.9,0.24324324324324326,0.24054054054054055
30,0.4,0.2857142857142857,0.25510204081632654
mean,0.5995238095238096,0.2918560750283639,0.24541321248635045
